"CANCELED","ROW_WID","ACCNT_LOC","ARPU","SES","HOME_PASSED","CUST_SINCE_DT","MONTHS_AGE","CANCEL_DT","CITY","POP"
1,807842615,"4251423",710,"C",1149,17-MAR-16,6.38,29-SEP-16,"FRONTERA","MC"
1,806661245,"4251288",470,"D",890,11-ABR-16,7.55,28-NOV-16,"MONCLOVA","MC"
1,806662434,"4251261",470,"D",1499,18-MAR-16,8.32,28-NOV-16,"MONCLOVA","MC"
1,807842075,"4251385",740,"C",1149,29-MAR-16,12.06,30-MAR-17,"FRONTERA","MC"
1,807842188,"4251545",620,"C",1149,24-MAR-16,9.22,30-DIC-16,"FRONTERA","MC"
1,807842621,"4251435",665,"C",1149,24-MAR-16,7.19,30-OCT-16,"FRONTERA","MC"
1,807842732,"4251555",620,"B",924,18-MAR-16,8.32,28-NOV-16,"MONCLOVA","MC"
1,807843268,"4251518",699,"D",2085,31-MAR-16,7.91,28-NOV-16,"FRONTERA","MC"
1,807843581,"4251381",470,"C",1306,22-MAR-16,8.2,28-NOV-16,"MONCLOVA","MC"
1,809012472,"4251859",665,"D",2085,05-ABR-16,5.77,29-SEP-16,"FRONTERA","MC"
1,809012735,"4251782",470,"C",1149,01-ABR-16,8.96,30-DIC-16,"FRONTERA","MC"
1,809012740,"4251891",665,"C",1149,28-MAR-16,5.03,29-AGO-16,"FRONTERA","MC"
1,809012784,"4251785",620,"C",3439,18-MAR-16,6.35,29-SEP-16,"MONCLOVA","MC"
1,809012785,"4251787",470,"C",3439,29-MAR-16,5,29-AGO-16,"MONCLOVA","MC"
1,809012786,"4251788",620,"C",1149,29-MAR-16,6,29-SEP-16,"FRONTERA","MC"
