"CANCELED","ROW_WID","ACCNT_LOC","ARPU","SES","HOME_PASSED","CUST_SINCE_DT","MONTHS_AGE","CANCEL_DT","CITY","POP"
1,797255049,"4248620",486,"C",3439,11-MAR-16,15.58,29-JUN-17,"MONCLOVA","MC"
1,797255170,"4248828",665,"D",325,09-MAR-16,5.64,29-AGO-16,"MONCLOVA","MC"
1,797255901,"4248712",620,"D",296,08-MAR-16,8.64,28-NOV-16,"MONCLOVA","MC"
1,798424568,"4249082",700.48,"C",339,10-MAR-16,6.64,29-SEP-16,"MONCLOVA","MC"
1,799610291,"4249315",620,"C",1149,12-MAR-16,6.57,29-SEP-16,"FRONTERA","MC"
1,799610298,"4249436",710,"C",3439,12-MAR-16,8.55,28-NOV-16,"MONCLOVA","MC"
1,799611578,"4249398",470,"D",1499,17-MAR-16,8.35,28-NOV-16,"MONCLOVA","MC"
1,799610299,"4249440",470,"D",2085,29-MAR-16,5,29-AGO-16,"FRONTERA","MC"
1,799611577,"4249422",620,"D",1499,16-MAR-16,5.42,29-AGO-16,"MONCLOVA","MC"
1,799611901,"4249427",470,"D",387,29-MAR-16,5,29-AGO-16,"MONCLOVA","MC"
1,799610303,"4249545",620,"C",381,11-MAR-16,5.57,29-AGO-16,"MONCLOVA","MC"
1,799610304,"4249553",695,"C",3439,15-MAR-16,13.44,29-ABR-17,"MONCLOVA","MC"
1,799610617,"4249460",699,"C",1149,16-MAR-16,5.42,29-AGO-16,"FRONTERA","MC"
1,799610729,"4249567",486,"D",1499,14-MAR-16,10.52,30-ENE-17,"MONCLOVA","MC"
1,799611261,"4249520",470,"D",876,24-MAR-16,10.22,30-ENE-17,"MONCLOVA","MC"
1,799610730,"4249583",620,"D",2085,15-MAR-16,5.44,29-AGO-16,"FRONTERA","MC"
1,799611058,"4249596",740,"D",2085,16-MAR-16,12.45,30-MAR-17,"FRONTERA","MC"
1,799611270,"4249613",486,"C",1149,15-MAR-16,11.4,27-FEB-17,"FRONTERA","MC"
1,799611380,"4249620",620,"C",1149,09-ABR-16,5.64,29-SEP-16,"FRONTERA","MC"
1,799611477,"4249530",486,"C",860,15-MAR-16,12.48,30-MAR-17,"MONCLOVA","MC"
1,799611573,"4249301",470,"D",387,12-MAR-16,10.58,30-ENE-17,"MONCLOVA","MC"
1,800795529,"4249825",755,"C",1149,19-MAR-16,9.35,30-DIC-16,"FRONTERA","MC"
1,800795532,"4249946",470,"C",1149,15-MAR-16,10.51,30-ENE-17,"FRONTERA","MC"
1,800795640,"4249953",710,"C",1149,12-MAR-16,6.55,29-SEP-16,"FRONTERA","MC"
1,800795642,"4249956",665,"C",1149,16-MAR-16,8.39,28-NOV-16,"FRONTERA","MC"
1,801965149,"4250134",486,"C",1149,17-MAR-16,12.41,30-MAR-17,"FRONTERA","MC"
1,801965593,"4250164",486,"B",909,14-MAR-16,12.51,30-MAR-17,"MONCLOVA","MC"
1,801965910,"4250069",486,"C",842,14-MAR-16,13.48,29-ABR-17,"MONCLOVA","MC"
1,804310088,"4250566",486,"C",1149,15-MAR-16,12.48,30-MAR-17,"FRONTERA","MC"
