CUSTOMER_ID,DUE_DATE,DEBT_DAYS_NUM
22653556,11-12-17,18
21962494,02-10-16,453
23792936,31-10-17,59
22549249,,
21350473,,
23540833,19-08-17,132
21692670,13-11-17,46
21843243,10-01-18,-12
22490067,09-06-17,203
23540215,,
23833442,15-10-17,75
22351919,,
21956857,25-12-17,4
21443945,08-12-17,21
22852436,30-11-17,29
23581800,24-10-17,66
22293831,29-12-17,0
23931569,11-01-18,-13
22564203,,
21762655,,
23499605,10-12-17,19
23391675,21-11-17,38
23386138,24-10-17,66
21891999,13-12-17,16
22553496,01-09-17,119
22611272,01-01-18,-3
21621525,,
21152965,28-12-17,1
21903880,,
22090991,,
23654601,07-01-18,-9
21809547,01-10-17,89
23593161,27-11-17,32
23168766,,
21696399,,
22067859,16-10-16,439
22354827,17-05-17,226
21572672,19-06-17,193
22440095,24-05-17,219
23561637,,
22495909,08-01-17,355
22814007,20-11-17,39
21619854,,
24182209,,
23442068,,
23557435,,
23600868,,
22931657,,
22763535,06-12-17,23
22098725,,
21844764,19-12-16,375
23881865,,
22090490,,
21788388,29-11-17,30
21918690,,
23312620,02-12-17,27
22116622,,
21089500,,
22093553,24-11-17,35
22397793,17-04-17,256
23426434,25-08-17,126
21717518,,
22112740,31-10-17,59
21977288,28-06-17,184
21479644,,
21174731,03-01-18,-5
21969630,03-12-16,391
21683642,,
22426486,,
23705499,,
23274679,,
21699649,,
22282680,05-12-17,24
21356442,08-12-17,21
22157222,01-10-17,89
23538584,17-08-17,134
22295226,07-05-17,236
23528744,02-11-17,57
22945534,,
22766571,,
22634323,,
23074885,,
21365646,11-12-17,18
22605708,01-10-17,89
23219732,01-12-17,28
21205824,11-12-17,18
21978319,,
21880937,12-12-17,17
21453789,27-12-17,2
23494080,07-11-17,52
23074156,15-06-17,197
22379901,,
21514616,08-12-17,21
21294322,25-11-17,34
21880306,15-08-17,136
21515905,10-11-16,414
22382016,21-01-17,342
22626813,09-12-17,20
23611813,02-12-17,27
22410106,31-08-17,120
23425165,29-07-17,153
21341270,06-07-16,541
23350821,08-12-17,21
22840752,27-11-17,32
22382157,12-12-17,17
21686314,16-10-17,74
21861618,11-12-17,18
21068479,10-12-17,19
21593222,01-11-17,58
23437267,25-11-17,34
23207228,11-12-17,18
23570845,06-12-17,23
22057785,,
22444853,,
23277461,,
21218887,,
24105289,,
23142168,30-12-17,-1
22284890,,
22677620,,
24179728,,
23755275,10-11-17,49
22719958,,
24235675,31-12-17,-2
21854540,,
23968624,13-12-17,16
23977437,12-12-17,17
23976351,12-12-17,17
24279075,,
23338347,,
24226671,,
24237266,,
24012369,,
21243790,,
23739938,02-12-17,27
21419159,,
24306405,,
24143623,11-12-17,18
22439183,01-07-17,181
24293086,,
24266467,,
24273828,06-01-18,-8
24060275,,
23130384,,
24290886,08-01-18,-10
22986559,30-11-17,29
21251180,,
24023539,,
23811666,08-12-17,21
22795763,12-12-17,17
23736726,,
24021645,27-11-17,32
22563029,,
23282102,,
24206097,,
24226113,,
22564141,,
24084342,02-01-18,-4
21758817,,
23930827,,
23948164,08-12-17,21
22171504,07-07-17,175
23718928,,
22994387,,
23288425,02-01-18,-4
23986477,,
24164398,,
21634772,,
21327529,04-06-17,208
21781781,,
22750261,,
21698364,16-09-17,104
21860827,08-11-16,416
23144017,,
22061241,16-10-17,74
22204611,,
21634855,,
21435845,,
22478074,08-01-18,-10
24292822,,
23582423,29-10-17,61
23861372,19-10-17,71
21702970,,
22750821,03-08-17,148
22170243,05-01-17,358
23474022,03-01-18,-5
22396983,,
23323563,02-11-17,57
22992284,29-11-17,30
22105377,22-11-17,37
22239458,,
21480690,01-12-17,28
21685025,11-01-18,-13
22340227,06-12-17,23
21810199,06-11-17,53
24135368,13-01-18,-15
23296967,11-01-18,-13
21984215,29-05-17,214
22116505,,
22274408,22-08-17,129
21291440,30-09-17,90
21562931,,
21757340,30-11-17,29
21866402,,
22685016,,
21427204,,
22758927,,
23366279,,
21210564,,
22125175,26-12-17,3
22926980,,
22566636,31-05-17,212
22609448,31-03-17,273
22133315,30-08-17,121
23433468,30-11-17,29
21433241,,
23594873,,
23677967,,
24215655,,
23307548,02-12-17,27
23909625,07-12-17,22
22294676,,
21330693,05-09-17,115
23580281,26-11-17,33
22121824,,
22201777,09-12-17,20
22233900,,
23858020,25-12-17,4
21388274,,
23496410,09-11-17,50
23353380,,
23399303,24-09-17,96
22635606,08-12-17,21
23452891,29-09-17,91
22301304,30-08-17,121
23736514,26-12-17,3
23876696,24-11-17,35
21680391,10-03-17,294
23448980,01-12-17,28
23144112,29-11-17,30
22868568,08-11-17,51
22656906,13-01-18,-15
22981776,26-10-17,64
23893889,11-12-17,18
22897760,10-01-18,-12
22820352,03-12-17,26
21915360,19-10-16,436
23611515,30-12-17,-1
21221693,10-12-17,19
23828415,11-11-17,48
21750807,27-08-17,124
23398758,02-12-17,27
23064449,13-12-17,16
21230902,24-04-17,249
23765019,04-01-18,-6
22427109,04-01-18,-6
23323087,08-12-17,21
22722469,27-10-17,63
21684118,10-12-17,19
23036132,08-01-18,-10
22538494,,
21312653,31-12-17,-2
21450230,12-11-17,47
21208143,10-12-17,19
22577370,,
23335128,08-12-17,21
22517352,10-12-17,19
21995154,09-11-16,415
22354176,06-08-17,145
22809916,25-11-17,34
22646074,09-12-17,20
23754690,15-10-17,75
22976434,09-12-17,20
22022964,07-12-17,22
23300105,02-12-17,27
22032744,,
23136499,29-11-17,30
22166513,03-12-17,26
22081539,23-11-17,36
21588535,28-11-17,31
21425759,22-12-17,7
21776779,06-01-18,-8
23105043,25-11-17,34
21462697,05-10-17,85
22015620,10-12-17,19
24146103,10-12-17,19
23107562,,
21960827,26-01-17,337
21389021,,
23599529,03-12-17,26
22375380,20-11-17,39
23854048,18-10-17,72
22111377,,
22272204,01-03-17,303
24224501,,
21752917,,
21727678,28-11-17,31
22445889,27-11-17,32
23143052,07-12-17,22
21514620,08-08-16,508
23058847,12-12-17,17
24020517,,
21811429,03-06-17,209
21305252,30-10-17,60
23759040,30-11-17,29
22495729,04-01-18,-6
23465629,12-12-17,17
21101122,,
22395665,18-01-17,345
21309923,01-05-17,242
22495326,,
23812534,13-01-18,-15
23307321,29-11-17,30
22137670,01-12-16,393
23390426,,
21736271,23-12-16,371
21141715,,
21351883,,
21313421,,
21151785,,
21293701,28-12-17,1
21358621,11-12-17,18
23238096,,
22533167,,
23436932,,
