CUSTOMER_ID,KEYWORDS_NUM
23154952,5
23198282,2
23917834,2
23774235,1
23208589,8
23997839,3
21504516,7
22775644,6
23797376,7
23692431,2
23739002,1
23857196,2
23852262,2
24164741,1
23783144,4
23206023,2
21802663,1
24032041,2
22023390,3
24066700,1
22191342,3
23908097,4
24068091,3
24090835,1
21739040,2
23671073,1
24209697,1
24223965,1
24248132,2
24260653,2
24262417,1
21277938,5
24311485,1
21867442,2
22291130,3
21352885,15
21880503,1
21572067,3
22815719,2
22671992,1
21698937,4
22461725,8
21546757,6
22805065,2
21263674,5
22817999,1
22817741,2
21755370,3
22300568,2
21533234,9
21923280,10
23261464,10
21939062,6
21932174,1
21928681,3
22667298,5
21725339,7
21292701,3
21934263,1
21198466,11
22418199,4
21111179,1
23543645,5
21218984,1
21646186,19
23402651,7
22800992,4
