CUSTOMER_ID,BUSINESS_CASE_NUM
21798806,16
22997298,9
23246774,16
23199582,9
23334993,17
21494268,7
22112201,14
21216108,10
21360995,6
21873765,5
23312035,10
23014603,7
21224211,10
22566164,7
21185940,6
23582683,8
21134310,15
22132427,2
23329319,18
22316625,8
22345546,2
23167792,7
22458991,5
22950912,4
22310698,7
22483290,4
21505987,5
21811096,2
22259404,12
23452362,5
23124999,13
21782704,8
21145345,11
22814655,4
22814301,16
22815082,6
21230995,13
21520992,3
22359419,1
21289381,13
22352968,28
23440621,6
23406619,6
23330712,6
21698463,7
22303874,1
22618561,9
21163349,5
22033320,7
23820213,10
21067952,3
23820680,3
21284192,13
23613322,11
23819302,14
23756008,13
22014739,3
21493932,1
21702970,5
23118711,20
21291923,11
22241449,7
21276926,5
21709271,4
21157524,15
22076019,2
22340728,3
21461033,7
22264110,4
23366815,6
23096077,4
23526078,7
21536875,4
21457795,11
21320117,1
23856044,10
21342735,16
22213957,15
23860295,11
22862207,9
23351569,9
21967760,3
21135998,4
22465565,18
23318031,4
23600333,7
21648657,6
22972269,9
23254050,18
22095858,10
22544922,35
21621009,5
22132301,5
21360282,7
22080397,2
23065787,3
21796856,2
22295014,8
21653559,3
22571892,4
22885077,21
21432037,12
21295633,4
22780040,10
22105906,4
23867094,7
22845740,20
23311026,18
21514066,3
23095137,14
23299736,14
23296425,11
21739713,10
22346535,7
22292487,4
22033027,8
22555332,4
22831703,13
22423607,2
21690585,7
23459502,5
23077075,12
22170243,3
22582981,6
22291964,10
22570897,17
21989697,11
22060898,18
23539697,4
21640582,4
23540400,27
22069521,10
22058003,1
22525469,13
23247852,19
21226456,25
22734751,6
22927796,13
21984161,2
22929466,8
23374558,10
21174331,2
22653402,12
21782204,4
21821272,7
21399041,4
22560455,9
21612723,6
21632867,2
21396613,4
21922744,10
21514241,9
22120053,3
22912089,14
23064907,7
22949387,8
23788493,11
22979675,3
22337016,4
21236487,12
21805831,11
21348458,2
22335041,23
21309346,3
21086029,10
23466554,5
21441330,2
23301395,6
22091094,9
23750933,22
21495436,16
21233773,6
22617670,9
22264922,20
22226485,5
22411564,2
21541382,2
21442299,3
22057228,5
23597713,7
23343400,8
23610696,8
22144897,3
23401642,7
21354034,7
22623890,8
23863645,5
23514379,11
22229526,23
22797419,5
22872381,5
22606892,6
23386391,12
24156959,6
21581650,11
21395745,4
24149464,4
22008552,6
23351410,10
21266724,20
23337044,20
22483518,8
22226992,2
23057557,4
21325709,6
22725831,6
23469871,7
22157241,3
22022461,2
21461250,18
23584637,16
22671563,12
23614161,6
21638832,1
21283941,1
22125453,11
23368292,11
21189746,12
21615639,3
22425495,13
22235201,23
22700355,8
23915286,14
21149949,8
21336823,5
22050106,3
22749571,11
23359386,7
22901183,13
23319193,10
21964249,4
23474860,7
23231839,13
21274837,4
22569003,2
23593241,8
23802650,5
23750200,8
21395955,4
22719300,14
23706590,5
21112012,4
21670668,17
23271808,11
23585758,6
23473928,11
22151207,9
22993194,5
21723144,6
23148775,5
21444773,8
24161329,10
22077285,5
23150823,22
23529164,6
24188225,8
22503257,13
21425169,2
22419321,10
21831283,4
21557876,3
21328832,14
22397255,5
21929593,17
22057305,10
21262910,14
22282946,1
22086701,5
21875759,13
23626509,9
22074220,1
22022522,1
23763736,6
22235833,4
23556033,5
23555399,7
21844956,24
21090835,10
23584386,13
21902252,5
22406372,12
24050795,13
23642277,4
23089916,9
22483159,4
23539404,3
22554761,6
21444342,2
23094919,8
23289616,7
22928790,11
23591790,13
22495330,8
23170512,9
21425497,15
23269382,8
22548965,16
22786672,11
22699434,7
22223471,14
21319604,17
23119890,8
23145252,5
21190873,4
21860194,12
23506878,8
22400092,4
22861736,10
22111420,2
21542429,9
23077827,7
21209284,7
23679528,27
23219857,13
22410344,4
21148502,53
22010493,7
23008771,4
22331708,6
22276985,6
23994836,5
23206413,8
23165938,5
23222764,13
21443082,8
24156401,9
21272736,4
23909362,5
22910605,9
21925043,6
21116593,14
22604146,9
21855199,6
23205635,19
24098822,4
23131050,6
23565007,16
22533682,7
21467137,5
21328032,55
22515669,1
23587635,5
21936692,36
21492030,10
23574590,11
21844864,18
22471247,8
23196956,3
23302892,13
22197765,9
22623064,7
23241800,9
22001525,5
23176969,32
22940847,13
22317001,9
23690681,8
23191182,4
21106012,28
23797567,22
22478755,6
21297828,3
22707317,2
23775648,11
21609570,12
22138113,3
22144748,9
22158460,2
23766993,11
22503856,3
22589069,12
21609649,7
22553904,4
22016968,4
23340568,4
22947308,10
21345217,6
23188548,9
23420771,5
24006531,11
23648230,4
21552980,4
22108089,6
21581587,35
23936688,14
22675489,8
21752776,9
22379373,3
23465616,6
23006136,4
21873414,1
24158268,4
22629044,10
21985451,2
21619767,8
22093449,2
22958089,7
22765383,10
21365792,10
23203103,5
24093693,4
23205661,3
21983029,2
23330025,4
22403044,9
21892267,5
22328103,4
21461357,3
22152480,5
21872704,3
23115868,15
23514435,6
23406811,19
23512631,9
21731800,22
21078954,1
23966086,6
22041805,3
21969549,8
23978407,6
21359514,4
21805615,3
22941901,10
23667280,8
23678439,9
21209701,18
21461259,11
21598842,6
22706508,8
23976305,13
21853165,11
21971243,3
22520961,15
22560226,11
23882002,11
23894329,11
23885513,4
23988255,9
23866966,7
23018406,7
22980843,10
21278053,5
23903035,7
22955487,19
23458265,3
22028602,6
21822885,3
23582001,11
22298982,1
23178062,8
23333055,4
22510541,4
21694472,5
23642660,4
22556623,3
23458306,11
21571507,5
23042868,12
23567299,18
22274311,6
23738940,14
23941050,5
23501179,9
23686795,5
21615933,29
22263571,1
22313268,4
21802615,13
22960399,15
24186445,7
23099425,14
24161094,17
23194713,14
21251895,14
23741865,16
23726984,9
21383784,10
23321205,18
23112423,9
23558361,6
23130358,12
23129180,7
24169664,5
23078248,7
24167832,6
22726616,4
23574430,6
22595414,11
23130373,7
21924543,17
21793056,1
